اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
تركي الزهراني;29;حارس;63;92.03;7;0;45.27;27.81;7.19;172;31.13;49.49;موهوب
خالد العنزي;26;دفاع;10;90.88;0;1;71.86;29.40;6.33;136;38.53;42.67;غير موهوب
سالم المالكي;21;هجوم;91;80.29;3;3;79.59;33.03;10.21;177;21.38;55.39;موهوب
خالد الغامدي;20;حارس;47;78.33;8;1;41.25;28.39;7.43;129;9.28;38.85;غير موهوب
راكان الزهراني;23;هجوم;90;83.33;2;3;63.9;31.75;5.98;135;26.53;49.06;موهوب
تركي الحربي;25;حارس;53;78.81;3;0;67.72;26.12;11.90;128;31.90;44.50;غير موهوب
أحمد العنزي;15;وسط;41;85.74;6;5;54.73;29.37;8.86;159;33.94;47.07;موهوب
خالد الحربي;16;حارس;43;75.39;8;3;64.73;29.65;8.84;119;45.15;44.09;غير موهوب
فهد العنزي;25;حارس;62;94.86;1;0;84.78;32.37;10.69;166;11.41;51.46;موهوب
ناصر الشمري;21;حارس;30;91.46;5;0;47.33;33.67;9.68;144;12.06;41.47;غير موهوب
سعود الشمري;24;دفاع;75;88.21;7;4;46.03;26.72;6.30;143;27.74;47.11;موهوب
عبدالله البلوي;21;حارس;31;62.96;0;2;80.14;33.42;7.83;174;37.00;47.59;موهوب
سالم البلوي;27;دفاع;93;82.02;0;2;47.85;25.29;6.55;144;46.87;49.73;موهوب
سعود المالكي;16;وسط;19;88.30;8;5;69.04;31.54;9.34;170;17.58;46.42;موهوب
فهد الزهراني;19;وسط;71;69.85;9;3;86.42;34.61;9.60;131;49.64;51.57;موهوب
سعود المالكي;25;دفاع;60;63.63;7;5;72.85;31.28;6.35;137;14.67;44.20;غير موهوب
أحمد القحطاني;16;حارس;24;83.89;2;1;78.82;27.95;11.37;130;33.30;43.59;غير موهوب
تركي القحطاني;21;حارس;28;86.30;10;0;68.82;32.82;10.93;156;17.85;45.64;موهوب
راكان الرويلي;25;حارس;33;60.05;0;0;42.87;28.26;9.64;132;45.36;39.02;غير موهوب
تركي الزهراني;20;وسط;73;84.24;5;3;77.81;28.71;8.56;142;26.27;49.84;موهوب
محمد العنزي;25;هجوم;25;88.85;2;5;41.82;33.16;8.72;154;35.73;43.81;غير موهوب
محمد الحربي;21;وسط;28;88.48;0;0;81.39;27.03;11.45;159;32.52;47.54;موهوب
سعود الزهراني;28;وسط;19;67.75;0;1;60.39;27.94;11.24;161;15.16;40.39;غير موهوب
راكان البلوي;18;هجوم;74;61.95;2;0;75.04;28.74;7.66;133;39.83;46.91;موهوب
تركي المالكي;29;وسط;23;89.14;0;2;41.18;29.24;10.44;175;23.25;43.69;غير موهوب
محمد الغامدي;22;وسط;59;73.69;5;4;41.23;30.52;11.34;170;42.93;48.63;موهوب
خالد الزهراني;23;هجوم;38;90.61;1;0;47.46;29.45;7.33;159;14.55;43.04;غير موهوب
سعود العتيبي;26;حارس;27;79.36;6;4;53.37;27.51;6.46;172;23.71;44.38;غير موهوب
عبدالله الزهراني;25;هجوم;32;64.23;5;1;42.59;24.76;8.83;167;48.72;43.79;غير موهوب
راكان الشمري;20;هجوم;78;78.72;1;1;59.33;29.02;9.28;125;37.28;46.52;موهوب
ناصر الرويلي;21;وسط;71;74.83;5;3;89.03;28.33;8.87;160;34.48;52.73;موهوب
تركي العنزي;18;حارس;45;92.48;4;4;56.86;27.36;7.21;129;41.54;45.27;موهوب
أحمد الشمري;27;حارس;60;63.99;4;2;42.06;27.66;6.86;149;38.26;43.76;غير موهوب
تركي البلوي;27;هجوم;12;73.69;4;0;43.11;31.66;11.40;128;13.09;35.22;غير موهوب
راكان البلوي;21;وسط;50;91.48;0;1;41.26;27.47;6.35;132;39.42;43.22;غير موهوب
راكان الزهراني;18;هجوم;13;68.54;2;1;40.05;23.80;9.91;148;19.41;36.19;غير موهوب
عبدالله العنزي;20;وسط;34;64.41;6;4;63.6;27.45;7.47;162;23.03;43.55;غير موهوب
سعود الحربي;19;هجوم;74;78.06;8;4;61.19;31.00;11.22;120;10.49;44.22;غير موهوب
تركي الرويلي;21;حارس;66;83.32;0;1;84.8;33.43;6.62;162;10.08;49.69;موهوب
تركي الحربي;28;وسط;66;61.15;11;5;56.62;26.51;8.03;166;46.39;49.63;موهوب
راكان الغامدي;26;هجوم;65;79.08;8;1;84.02;30.77;7.24;136;29.76;48.99;موهوب
تركي الحربي;27;دفاع;71;64.94;10;4;61.17;29.45;6.16;149;29.48;47.25;موهوب
تركي الحربي;27;وسط;49;89.89;1;1;42.42;31.63;7.58;172;21.10;46.18;موهوب
راكان البلوي;26;دفاع;26;80.77;9;0;86.99;27.29;9.61;169;28.93;48.62;موهوب
ناصر العنزي;22;دفاع;47;77.92;3;0;81.4;27.17;11.29;120;34.16;44.66;غير موهوب
ناصر البلوي;18;دفاع;77;79.23;0;0;69.48;26.00;8.72;121;27.29;45.41;موهوب
سالم المالكي;26;دفاع;81;87.42;9;2;79.25;33.04;9.83;140;30.46;52.44;موهوب
راكان الزهراني;19;دفاع;36;64.21;9;1;81.57;29.19;10.09;176;46.16;50.36;موهوب
أحمد المالكي;30;دفاع;26;90.56;10;5;67.02;31.54;6.68;153;43.21;48.11;موهوب
سعود العنزي;18;حارس;94;79.67;8;5;66.46;32.51;7.07;129;37.87;51.06;موهوب
سالم الغامدي;23;دفاع;25;90.90;3;0;49.35;29.71;8.18;130;20.06;39.58;غير موهوب
سعود الحربي;23;حارس;83;69.58;6;3;66.91;31.66;10.28;179;23.78;52.58;موهوب
محمد العنزي;15;هجوم;33;93.40;4;0;55.3;32.19;7.04;163;18.81;45.19;موهوب
خالد الزهراني;21;حارس;60;84.76;6;5;43.28;29.74;6.19;142;43.70;46.74;موهوب
سعود القحطاني;25;هجوم;16;86.22;5;1;69.03;30.06;6.67;119;28.66;40.18;غير موهوب
فهد الغامدي;22;وسط;23;78.54;7;3;53.67;27.80;8.27;158;27.18;42.94;غير موهوب
خالد القحطاني;21;حارس;15;79.68;4;5;85.63;25.81;11.20;134;43.96;44.92;غير موهوب
أحمد الغامدي;17;حارس;72;82.85;9;0;42.46;31.62;7.58;151;15.90;45.82;موهوب
سالم الحربي;19;دفاع;44;85.60;0;0;71.52;27.30;8.69;164;24.10;47.25;موهوب
فهد الزهراني;24;وسط;79;93.63;1;1;71.75;33.27;9.33;162;23.03;52.67;موهوب
عبدالله العنزي;26;حارس;43;71.71;11;5;64.85;25.39;7.59;163;37.87;47.71;موهوب
عبدالله العنزي;28;هجوم;68;89.96;2;0;79.37;28.03;6.74;171;29.71;52.76;موهوب
فهد الحربي;24;دفاع;26;61.80;5;4;52.2;32.89;8.53;142;16.61;38.78;غير موهوب
سالم القحطاني;17;دفاع;21;93.80;4;1;46.47;25.89;9.19;150;35.44;42.98;غير موهوب
محمد الزهراني;25;وسط;16;71.32;8;4;58.29;32.49;9.46;170;15.60;42.80;غير موهوب
محمد البلوي;16;دفاع;84;67.82;4;1;78.78;31.74;10.05;117;34.54;47.66;موهوب
تركي المالكي;26;حارس;43;61.41;10;4;77.27;25.67;7.37;159;49.67;48.60;موهوب
خالد الغامدي;26;هجوم;39;72.56;3;3;44.25;30.78;10.91;132;48.70;42.69;غير موهوب
فهد العنزي;29;هجوم;74;90.79;7;3;65.07;33.25;9.40;145;45.43;52.55;موهوب
راكان العتيبي;25;حارس;30;81.63;7;3;67.93;31.78;9.25;156;30.83;46.38;موهوب
سعود البلوي;20;وسط;16;77.78;6;3;57.05;24.92;8.99;157;45.96;44.08;غير موهوب
خالد العتيبي;16;حارس;20;75.27;2;0;46.78;25.58;10.67;127;36.00;38.14;غير موهوب
خالد المالكي;23;هجوم;73;82.06;0;0;65.37;26.66;9.76;138;49.38;49.36;موهوب
عبدالله الشمري;30;وسط;18;65.17;5;2;63.66;27.37;6.38;175;18.92;42.39;غير موهوب
سالم البلوي;24;وسط;39;62.35;4;2;63.78;32.89;10.65;167;35.70;46.37;موهوب
عبدالله الزهراني;25;هجوم;52;78.12;6;1;67.85;27.19;6.48;157;10.32;45.11;موهوب
خالد المالكي;18;حارس;38;79.88;8;3;57.72;32.89;8.15;156;17.90;44.61;غير موهوب
خالد الغامدي;17;دفاع;14;79.16;2;2;48.34;29.26;7.47;162;37.26;42.39;غير موهوب
تركي البلوي;25;وسط;46;76.50;3;1;56.65;33.96;10.95;156;11.64;43.97;غير موهوب
خالد الحربي;21;وسط;91;80.81;2;0;80.55;31.95;8.46;177;14.71;54.05;موهوب
محمد الزهراني;26;هجوم;34;67.34;3;1;85.99;30.74;7.98;154;46.71;47.86;موهوب
خالد الرويلي;27;وسط;83;74.33;1;3;73.22;26.58;10.77;179;27.66;53.17;موهوب
سالم القحطاني;24;هجوم;50;87.44;8;0;57.51;33.96;7.18;154;43.21;49.03;موهوب
محمد العتيبي;21;وسط;55;93.10;5;4;44.03;32.62;6.95;132;36.32;45.45;موهوب
أحمد الرويلي;20;دفاع;26;79.70;7;1;71.7;29.39;9.32;158;20.08;44.69;غير موهوب
سالم العتيبي;20;حارس;17;94.29;6;0;89.67;25.82;8.39;127;13.90;42.45;غير موهوب
عبدالله الزهراني;20;هجوم;78;74.47;10;6;77.86;30.18;8.59;150;14.60;49.97;موهوب
سعود المالكي;20;دفاع;77;84.69;5;1;59.44;30.15;8.29;182;18.62;51.80;موهوب
سالم القحطاني;24;هجوم;64;88.01;10;1;70.87;32.60;8.58;167;44.83;54.10;موهوب
سالم المالكي;22;هجوم;39;84.36;5;3;50.2;26.25;7.75;153;34.59;44.79;غير موهوب
سعود الزهراني;25;وسط;17;73.18;0;0;78.28;27.53;6.72;142;31.12;41.76;غير موهوب
خالد البلوي;22;دفاع;57;71.89;8;3;83.8;28.46;6.10;164;36.60;50.98;موهوب
ناصر الزهراني;17;وسط;24;92.38;2;0;76.05;30.44;8.27;131;44.14;45.36;موهوب
راكان البلوي;22;حارس;65;83.65;7;2;76.02;29.86;10.34;182;27.74;53.73;موهوب
عبدالله البلوي;23;حارس;50;72.20;5;0;40.72;25.11;9.17;153;29.06;42.70;غير موهوب
عبدالله المالكي;26;دفاع;47;94.75;4;2;85.72;26.50;9.07;131;44.61;49.41;موهوب
عبدالله العنزي;30;وسط;69;76.88;10;0;66.56;25.28;6.33;160;34.97;49.89;موهوب
سعود العنزي;30;دفاع;84;74.52;7;4;43.66;24.44;11.07;164;48.17;51.21;موهوب
خالد القحطاني;22;وسط;62;72.89;6;6;67.08;32.28;6.32;135;34.90;46.94;موهوب
محمد العنزي;22;حارس;84;85.69;7;2;73.57;32.80;8.69;126;8.91;47.63;موهوب
تركي المالكي;19;حارس;81;69.38;0;2;67.44;26.89;6.28;127;25.73;45.08;موهوب
عبدالله القحطاني;22;هجوم;80;68.17;6;5;68.29;30.16;10.50;118;37.29;47.05;موهوب
أحمد الشمري;26;وسط;19;70.39;6;1;55.34;31.03;7.72;148;38.60;41.90;غير موهوب
سالم العنزي;24;وسط;55;85.04;10;4;51.9;24.86;8.60;158;18.54;46.22;موهوب
فهد الغامدي;20;وسط;85;65.88;1;0;70.97;31.41;10.20;175;43.53;53.67;موهوب
عبدالله العتيبي;23;دفاع;51;60.64;2;0;69.8;31.16;6.37;167;18.19;45.13;موهوب
عبدالله الحربي;20;حارس;76;76.11;7;3;57.25;25.11;8.43;139;37.73;47.74;موهوب
تركي الرويلي;19;وسط;75;81.59;3;3;87.66;30.56;9.36;124;42.09;50.70;موهوب
محمد العنزي;15;حارس;44;80.97;1;1;78.66;27.15;6.97;156;39.06;48.31;موهوب
سعود البلوي;29;حارس;42;81.12;1;0;72.46;28.44;6.57;143;35.70;45.59;موهوب
محمد المالكي;25;هجوم;24;76.43;4;6;52.25;30.00;8.08;164;29.21;43.78;غير موهوب
سعود المالكي;27;حارس;71;89.43;0;0;68.02;25.75;6.72;147;15.63;47.06;موهوب
فهد العتيبي;29;دفاع;47;63.77;1;1;44.61;31.16;10.57;161;17.16;41.92;غير موهوب
راكان المالكي;19;دفاع;17;68.02;5;4;70.88;23.40;10.82;173;12.93;42.78;غير موهوب
ناصر العتيبي;29;وسط;79;84.93;4;2;42.57;32.90;8.43;130;39.48;47.04;موهوب
أحمد البلوي;17;حارس;38;89.23;1;1;74.14;31.23;11.15;175;43.65;51.60;موهوب
سالم البلوي;18;هجوم;57;74.64;7;0;74.1;28.32;11.58;130;31.82;46.05;موهوب
سعود القحطاني;18;وسط;29;64.26;3;0;66.85;29.74;8.34;125;9.88;37.34;غير موهوب
محمد الحربي;17;حارس;14;63.97;3;0;47.15;29.65;7.24;126;23.47;34.94;غير موهوب
سعود الزهراني;20;دفاع;13;89.59;7;1;54.07;32.25;6.79;133;38.00;41.63;غير موهوب
تركي الرويلي;23;دفاع;60;80.32;10;1;88.93;32.37;7.07;160;14.28;50.44;موهوب
عبدالله الزهراني;22;حارس;66;63.59;2;3;44.31;31.50;7.57;163;22.74;44.86;غير موهوب
خالد القحطاني;19;هجوم;67;70.96;8;0;61.68;33.49;7.85;122;44.21;46.13;موهوب
تركي الرويلي;26;دفاع;83;78.66;9;2;85.48;29.44;7.82;122;22.59;48.89;موهوب
فهد الغامدي;25;هجوم;77;65.63;6;3;89.12;23.90;10.52;131;23.40;47.73;موهوب
فهد البلوي;27;دفاع;83;81.96;7;2;75.67;31.03;5.68;174;11.88;52.47;موهوب
سعود الشمري;25;دفاع;9;75.44;4;3;44.57;26.68;10.90;132;39.18;38.31;غير موهوب
خالد البلوي;24;هجوم;35;82.36;6;4;56.94;27.80;10.97;164;31.53;46.51;موهوب
خالد العتيبي;22;هجوم;21;79.38;8;2;57.77;25.57;10.90;138;44.15;42.97;غير موهوب
فهد الشمري;15;حارس;78;91.02;1;0;69.71;32.22;7.42;139;24.01;49.15;موهوب
تركي الغامدي;21;هجوم;31;71.24;8;0;42.75;24.92;6.52;185;10.87;42.26;غير موهوب
أحمد العتيبي;24;حارس;30;77.55;5;6;70.48;29.72;6.38;129;27.78;42.43;غير موهوب
ناصر الغامدي;26;وسط;92;88.75;2;0;41.36;25.12;8.41;159;46.27;51.43;موهوب
أحمد العنزي;23;هجوم;40;81.84;8;2;84.95;30.90;8.12;181;14.91;50.19;موهوب
خالد الشمري;21;حارس;83;66.14;9;4;87.31;31.68;6.24;171;15.53;52.66;موهوب
عبدالله البلوي;23;دفاع;66;77.29;6;1;83.76;24.22;6.94;136;10.55;45.75;موهوب
سالم العتيبي;19;وسط;35;89.28;8;5;79.31;32.11;9.02;140;19.33;46.34;موهوب
أحمد القحطاني;27;حارس;16;82.45;9;1;49.3;28.44;8.86;140;49.45;42.72;غير موهوب
سالم الرويلي;25;دفاع;34;78.01;3;2;79.08;25.13;9.74;126;34.72;43.52;غير موهوب
سعود المالكي;25;وسط;59;67.88;1;1;49.8;31.47;7.60;123;44.92;42.85;غير موهوب
أحمد البلوي;16;حارس;54;80.09;7;0;76.87;30.61;9.64;168;11.85;48.67;موهوب
ناصر الغامدي;23;حارس;22;64.03;9;1;40.58;31.90;9.98;131;23.33;36.98;غير موهوب
خالد العنزي;24;حارس;70;61.65;2;1;87.19;32.71;8.85;161;11.52;48.43;موهوب
عبدالله الغامدي;18;دفاع;58;60.73;7;0;63.69;27.31;11.20;127;40.23;43.91;غير موهوب
خالد المالكي;19;دفاع;85;66.43;6;1;50.58;27.40;8.54;140;31.66;46.29;موهوب
راكان العتيبي;25;دفاع;78;94.06;5;2;54.04;33.18;10.28;171;24.39;52.44;موهوب
ناصر المالكي;21;وسط;12;64.94;6;2;82.86;32.16;9.96;121;42.65;41.51;غير موهوب
خالد القحطاني;24;هجوم;79;80.61;2;0;57.19;26.13;10.04;131;32.54;46.50;موهوب
خالد البلوي;16;حارس;85;93.33;1;1;56.71;31.28;8.86;149;46.61;52.53;موهوب
أحمد الغامدي;28;هجوم;91;67.37;7;0;52.82;25.57;7.53;128;33.99;45.92;موهوب
سالم العنزي;25;دفاع;10;83.72;8;0;78.22;31.23;8.60;181;47.90;49.85;موهوب
محمد الغامدي;24;حارس;24;88.88;9;2;62.37;32.24;10.32;157;30.29;46.23;موهوب
محمد الزهراني;25;وسط;35;89.40;1;0;72.35;24.00;9.03;156;17.55;44.93;غير موهوب
راكان العتيبي;29;هجوم;27;81.00;8;5;65.33;31.37;7.85;178;28.75;48.03;موهوب
سالم العنزي;21;هجوم;78;86.28;8;0;65.89;27.16;6.45;180;49.61;55.71;موهوب
تركي المالكي;15;وسط;39;66.72;5;3;70.17;27.93;6.13;133;15.78;40.75;غير موهوب
عبدالله الغامدي;15;حارس;33;82.62;4;2;86.27;28.17;7.97;141;27.89;45.88;موهوب
عبدالله الغامدي;25;دفاع;65;92.95;4;1;52.25;32.16;8.69;144;26.25;47.37;موهوب
عبدالله العتيبي;17;وسط;69;76.31;3;3;76.42;27.80;8.84;158;20.10;49.16;موهوب
محمد البلوي;19;حارس;23;81.73;4;5;61.58;26.91;6.20;127;40.90;41.81;غير موهوب
عبدالله الحربي;23;هجوم;34;70.12;1;0;78.68;26.44;9.38;152;25.23;44.10;غير موهوب
سالم البلوي;25;دفاع;12;84.59;0;0;49.72;25.55;8.16;137;18.48;37.28;غير موهوب
راكان الرويلي;23;وسط;17;92.38;1;0;69.96;29.69;10.61;130;41.38;43.56;غير موهوب
عبدالله الرويلي;26;دفاع;37;72.88;3;2;77.79;23.45;8.98;124;47.02;44.01;غير موهوب
عبدالله العتيبي;24;حارس;49;70.64;7;4;57.02;31.97;6.46;176;43.38;49.50;موهوب
ناصر الرويلي;22;وسط;73;81.48;3;0;89.66;25.53;8.08;126;19.89;47.40;موهوب
ناصر المالكي;25;دفاع;93;88.88;4;0;47.6;31.80;11.14;158;11.80;49.58;موهوب
محمد الشمري;22;وسط;15;66.86;7;3;71.02;31.06;9.06;173;48.40;47.16;موهوب
عبدالله الغامدي;22;حارس;62;91.90;6;1;74.76;25.20;9.03;155;49.57;52.72;موهوب
محمد الغامدي;26;دفاع;24;82.50;8;0;69.46;30.00;7.71;130;26.96;42.07;غير موهوب
راكان الرويلي;20;وسط;48;67.77;7;3;87.46;30.43;7.72;153;18.73;47.01;موهوب
تركي القحطاني;26;وسط;29;64.16;8;0;85.93;26.88;9.86;151;12.36;43.02;غير موهوب
أحمد الزهراني;27;دفاع;38;73.22;9;5;53.14;32.85;9.12;115;38.66;41.55;غير موهوب
فهد الحربي;26;حارس;51;94.31;10;1;60.08;31.76;10.41;163;47.93;52.16;موهوب
راكان الغامدي;24;حارس;94;85.01;5;0;53.92;27.53;10.59;171;47.30;54.93;موهوب
فهد القحطاني;23;هجوم;84;80.64;1;3;56.37;31.52;8.11;142;30.34;48.55;موهوب
سعود العنزي;18;وسط;34;61.23;8;2;53.5;32.19;7.33;150;15.18;40.38;غير موهوب
راكان الزهراني;25;حارس;62;90.98;0;2;64.59;28.45;7.98;173;22.72;50.19;موهوب
تركي القحطاني;27;حارس;29;63.73;12;1;85.59;30.14;7.03;176;25.92;47.82;موهوب
محمد الحربي;28;دفاع;31;73.79;1;1;85.3;33.26;10.59;174;17.67;47.51;موهوب
محمد الزهراني;17;هجوم;66;87.95;3;0;78.23;27.79;6.04;153;23.28;49.48;موهوب
تركي الزهراني;16;هجوم;88;81.53;5;6;64.25;29.37;7.01;168;20.25;52.16;موهوب
عبدالله المالكي;22;حارس;39;78.20;4;6;82.33;31.53;8.53;161;15.84;47.38;موهوب
عبدالله العتيبي;17;هجوم;17;63.64;3;0;59.78;31.75;7.03;135;14.88;36.90;غير موهوب
تركي المالكي;26;هجوم;53;70.36;6;3;66.64;32.10;7.54;144;33.22;46.21;موهوب
ناصر الرويلي;18;وسط;19;86.90;10;4;52.9;26.51;7.33;141;24.59;41.36;غير موهوب
خالد الرويلي;24;هجوم;47;65.01;0;0;79.94;34.22;10.72;133;15.87;42.86;غير موهوب
محمد الزهراني;17;دفاع;45;68.37;2;2;67.35;28.09;7.62;163;23.57;45.22;موهوب
سالم المالكي;17;دفاع;37;62.81;1;0;50.42;29.10;6.47;128;18.78;37.07;غير موهوب
محمد العنزي;21;دفاع;65;68.34;7;4;55.1;29.54;10.46;165;25.26;47.74;موهوب
محمد البلوي;25;هجوم;42;60.86;7;2;66.06;33.06;6.52;170;41.64;47.68;موهوب
فهد البلوي;22;وسط;49;83.57;4;1;59.11;25.44;11.14;125;27.84;42.90;غير موهوب
أحمد العنزي;21;وسط;19;88.84;4;0;52.77;30.70;10.59;127;32.64;40.62;غير موهوب
محمد البلوي;16;وسط;23;78.36;4;1;43.34;24.61;10.47;154;43.58;42.48;غير موهوب
محمد الزهراني;23;حارس;67;65.43;2;1;59.56;30.14;8.51;165;37.82;48.50;موهوب
سعود الحربي;24;دفاع;54;89.25;11;5;61.38;26.50;7.52;143;22.10;46.64;موهوب
عبدالله الغامدي;19;حارس;29;70.95;10;3;78.22;33.34;11.13;137;47.68;46.70;موهوب
محمد الزهراني;21;حارس;46;87.80;8;1;80.25;27.90;8.23;139;35.38;48.17;موهوب
أحمد القحطاني;18;هجوم;63;90.87;0;0;50;27.84;9.17;138;18.71;44.18;غير موهوب
أحمد الرويلي;22;وسط;56;69.31;9;6;87.39;29.42;7.92;166;45.70;52.97;موهوب
تركي الزهراني;27;دفاع;85;77.08;8;0;65.98;28.09;6.85;143;15.44;47.72;موهوب
سالم الشمري;19;دفاع;10;91.42;1;1;50.07;27.96;8.92;146;28.52;40.54;غير موهوب
أحمد البلوي;17;وسط;92;85.69;1;2;82.87;25.29;9.53;149;30.15;53.06;موهوب
تركي العتيبي;24;وسط;75;72.04;4;3;50.04;23.60;11.32;179;19.45;48.61;موهوب
أحمد القحطاني;17;دفاع;82;94.53;0;0;46.18;25.54;10.54;140;10.19;45.44;موهوب
سالم العنزي;19;وسط;70;80.03;9;1;57.15;28.78;9.38;153;21.42;47.75;موهوب
فهد الغامدي;22;وسط;57;77.28;5;3;47.65;26.23;6.60;177;34.92;48.30;موهوب
سعود الزهراني;25;هجوم;26;84.33;0;0;44.29;30.31;8.63;180;49.70;47.03;موهوب
ناصر الحربي;19;وسط;49;91.06;9;2;87.09;32.29;8.43;150;37.25;51.79;موهوب
راكان العتيبي;21;حارس;71;63.34;0;1;75.47;30.31;8.23;137;17.97;44.92;غير موهوب
أحمد الغامدي;24;وسط;11;73.67;6;2;78.72;31.72;9.74;118;21.04;39.10;غير موهوب
أحمد الزهراني;19;دفاع;27;64.40;9;1;75.36;25.21;8.32;168;25.38;44.85;غير موهوب
تركي الرويلي;18;وسط;50;72.70;7;2;42.21;30.94;6.32;133;48.90;43.67;غير موهوب
أحمد العنزي;28;حارس;47;77.64;3;0;88.98;27.11;9.32;145;44.35;49.16;موهوب
سالم البلوي;24;هجوم;84;68.97;4;0;61.65;32.24;10.75;125;35.73;46.93;موهوب
سعود الزهراني;21;هجوم;17;81.50;5;3;72.79;27.49;11.56;169;35.06;46.93;موهوب
محمد القحطاني;23;هجوم;26;86.14;4;2;47.27;24.30;10.22;171;23.19;43.79;غير موهوب
عبدالله الشمري;21;حارس;40;92.58;9;1;60.68;27.69;9.55;164;46.32;50.09;موهوب
خالد الرويلي;22;حارس;31;67.78;9;1;70.59;28.48;8.91;130;19.32;40.68;غير موهوب
سعود العتيبي;21;وسط;15;70.32;11;1;43.36;27.60;11.29;145;16.95;37.95;غير موهوب
فهد الرويلي;18;حارس;90;72.54;10;2;50.65;32.82;7.05;166;21.03;50.23;موهوب
راكان البلوي;23;وسط;31;83.95;6;0;81.29;30.43;9.60;132;22.00;44.03;غير موهوب
سعود الزهراني;17;وسط;58;79.82;2;1;81.19;32.00;10.56;164;45.72;52.70;موهوب
عبدالله الحربي;19;هجوم;81;72.89;0;0;86.75;27.74;10.90;167;22.23;52.06;موهوب
سالم العتيبي;22;هجوم;80;88.04;8;2;63.17;24.34;7.31;152;32.63;50.83;موهوب
فهد البلوي;22;وسط;42;92.74;1;1;68.86;28.88;10.13;124;33.74;44.71;غير موهوب
